OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
883,10088,565,22.3233,114.16882,COSMOPOLITAN CENTRE (ALLIED PLAZA UNDER),7/1/1973 0:00,0,19363.1,10609.2,29972.3,14,51,26000,0.05,1,2,0,1,0,835445,820483,Yau Tsim Mong,***
885,10759,474,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
890,11151,556,22.29012,114.19647,HANG YING BUILDING,7/1/1973 0:00,0,9455,5066.8,14521.8,21,51,26250,0.4,1,0,0,1,0,838282,816811,Eastern,*
912,9770,1003,22.28647,114.19316,COMFORT GARDENS,11/1/1974 0:00,0,18801.8,1600.9,20402.7,25,50,59160,0.2,0,0,0,0,0,837945,816399,Eastern,*
913,12674,718,22.28968,114.20754,BRAEMAR TERRACE FLAT H,8/1/1974 0:00,0,21042.8,28,21070.8,15,50,25000,0.2,0,0,0,0,0,0,0,Eastern, 
943,11942,628,22.28669,114.19078,KAM TAO BLDG/ HOI TAO BLDG / NGAN TAO BLDG - PODIUM,12/1/1973 0:00,0,27719.3,2785.5,30504.8,4,51,41650,0.4,1,0,0,1,0,837686,816431,Eastern,*
945,14010,728,22.28968,114.20771,BRAEMAR TERRACE FLAT D,8/1/1974 0:00,0,21042.8,28,21070.8,15,50,25000,0.2,0,0,0,0,0,839447,816753,Eastern,*
950,10161,992,22.28642,114.19341,COMFORT GARDENS,11/1/1974 0:00,0,18801.8,1600.9,20402.7,28,50,59160,0.2,1,0,0,0,0,837978,816386,Eastern,*
952,11822,845,22.28669,114.19078,KAM TAO BLDG/ HOI TAO BLDG / NGAN TAO BLDG - PODIUM,12/1/1973 0:00,0,27719.3,2785.5,30504.8,4,51,41650,0.4,1,0,0,1,0,837686,816431,Eastern,*
957,14038,775,22.29083,114.20406,KING'S WAY MANSION,3/1/1974 0:00,0,3644.7,0,3644.7,18,51,34910,0.3,1,0,0,1,0,839067,816888,Eastern,*
961,14614,609,22.28669,114.19078,KAM TAO BLDG/ HOI TAO BLDG / NGAN TAO BLDG - PODIUM,12/1/1973 0:00,0,27719.3,2785.5,30504.8,4,51,41650,0.4,1,0,0,1,0,837686,816431,Eastern,*
978,10574,435,22.30129,114.17371,LOK FUN MANSION,11/1/1973 0:00,0,2554.6,290.7,2845.3,14,51,23660,0.4,1,0,0,1,0,835941,818037,Yau Tsim Mong,*
980,12093,554,22.28939,114.19708,FOK WAH MANSION,7/1/1974 0:00,0,1811.4,156.6,1968,19,50,40500,0.5,1,0,0,0,0,838349,816716,Eastern,*
985,11838,718,22.28968,114.20754,BRAEMAR TERRACE FLAT H,8/1/1974 0:00,0,21042.8,28,21070.8,15,50,25000,0.2,0,0,0,0,0,0,0,Eastern, 
999,12599,554,22.28939,114.19708,FOK WAH MANSION,7/1/1974 0:00,0,1811.4,156.6,1968,19,50,40500,0.5,1,0,0,0,0,838349,816716,Eastern,*
1000,16713,718,22.28968,114.20771,BRAEMAR TERRACE FLAT D,8/1/1974 0:00,0,21042.8,28,21070.8,15,50,25000,0.2,0,0,0,0,0,839447,816753,Eastern,*
1006,10392,433,22.32097,114.17115,MONGKOK BUILDING,10/1/1973 0:00,0,3601.9,1927.4,5529.3,22,51,20000,0.1,1,0,1,1,0,835676,820223,Yau Tsim Mong,*
1012,11485,653,22.28955,114.19496,NORTH POINT CENTRE (WITH CAR PARK),5/1/1974 0:00,0,17940.5,6240.7,24181.2,28,50,31000,0.1,1,0,0,0,0,838130,816736,Eastern,*
1013,9647,653,22.28974,114.19512,NORTH POINT CENTRE (WITH CAR PARK),5/1/1974 0:00,0,17940.5,6240.7,24181.2,28,50,31000,0.2,1,0,0,1,0,838151,816758,Eastern,*
1017,13176,425,22.32209,114.16111,TAI KWEI BUILDING,6/1/1974 0:00,0,5284.2,1707,6991.2,14,50,17630,0.5,1,0,0,1,1,834644,820343,Yau Tsim Mong,*
1018,14598,548,22.27821,114.22602,HONG WAH MANSION - PODIUM,11/1/1985 0:00,400,14087.2,2118.8,16206,1,39,34250,0.4,1,0,0,1,0,841321,815474,Eastern,*
1019,13537,554,22.28939,114.19708,FOK WAH MANSION,7/1/1974 0:00,0,1811.4,156.6,1968,19,50,40500,0.5,1,0,0,0,0,838349,816716,Eastern,*
1024,12118,609,22.28669,114.19078,KAM TAO BLDG/ HOI TAO BLDG / NGAN TAO BLDG - PODIUM,12/1/1973 0:00,0,27719.3,2785.5,30504.8,4,51,41650,0.4,1,0,0,1,0,837686,816431,Eastern,*
1028,11278,798,22.28951,114.19518,NORTH POINT CENTRE (WITH CAR PARK),5/1/1974 0:00,0,17940.5,6240.7,24181.2,28,50,31000,0.1,1,0,0,0,0,838156,816736,Eastern,*
1048,10682,674,22.28943,114.19397,WAH HOI MANSION - PODIUM,1/1/1975 0:00,0,12445.1,2490.9,14936,2,50,29000,0.1,1,0,0,1,0,838018,816708,Eastern,*
1049,12092,521,22.30315,114.17334,SOVEREIGN MANSION,6/1/1975 0:00,0,2796.6,586.7,3383.3,18,49,23660,0.3,1,0,0,0,0,835903,818250,Yau Tsim Mong,*
1050,10909,715,22.29115,114.20124,KING'S TOWERS BLOCK A,12/1/1974 0:00,0,12671.2,5613,18284.2,26,50,30000,0.05,1,0,0,0,0,838771,816920,Eastern,*
1054,5948,501,22.29858,114.17529,PO CHEONG COMMERCIAL BUILDING,12/1/1990 0:00,0,0,1739.6,1739.6,17,34,22480,0.1,1,0,0,1,0,0,0,Yau Tsim Mong, 
1060,10682,674,22.28943,114.19397,WAH HOI MANSION - PODIUM,1/1/1975 0:00,0,12445.1,2490.9,14936,2,50,29000,0.1,1,0,0,1,0,838018,816708,Eastern,*
